#,username,data
1,Eth_Man,57701.98953298836
2,Basoosh,37931.44738413978
3,,31641.28563569178
4,carlslarson,26006.26272464989
5,Jake123194,23208.7203571337
6,MemeyCurmudgeon,10075.933417235445
7,kohrts,9078.60958856186
8,,3635.1978707037256
9,rustedpopcorn,1865.6966915530593
10,IHaventEvenGotADog,1521.5718590447912
11,YokoSloNo,1359.935882904054
12,,1350.5506659805194
13,,1334.2232522301877
14,Aguaskeepartdeux,1333.1241166283353
15,killawaspattack,1311.9949143089036
16,devboricha,1254.026633020951
17,ALiteralHamSandwich,1202.9891672792965
18,Cryptonault,1172.731673505507
19,DDDUnit2990,858.7971540924941
20,PoojaaPriyaa,833.7539618017914
21,MicThess,678.9653179414472
22,,604.5667010786118
23,,604.5667010786118
24,ejdunia,497.02171229352166
25,ponder_that,400.12859181772575
26,sirjakobos,350.38742711802934
27,SqrHornet,320.15351593368223
28,__CRUSH__,317.7609465952757
29,what_the_deuce,314.48193096106564
30,diggipiggi,282.83509268008646
31,walkinglucky1,254.6296376932356
32,13illini,237.11839479052315
33,steamyp,186.1780200917632
34,ethereum88,141.1885496754685
35,,130.50884962361053
36,,21.850422643986974
37,Wilt_The_Stilt_,15.190757557796106
38,Interesting-Engine34,10.735549134835999
39,,8.796414602485811
40,pc1e0,3.1028613290228755
41,rsblk,1.2594178095470774
